GL Code,GL Description,BSPL,Ind AS Major,Ind AS Minor,(Unaudited) Mar'25,Mar'25 Adjusted
20020809,TC 240 Icon Enterprises - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020810,Ajinkya -BKL TC 240 - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020811,Mother sai patho ( pentacyte ) - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020812,Premier lab - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020813,Vision pro( Dr. Devang Doshi )  Caretakers - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20020814,Vision Pro( Bhavnagar )  Caretakers - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20020815,Pulse diagnostics part rental  - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020816,Arogaya Pathology rental dynacount - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020817,Eurostar Shreshta Rehmutology (Dr.Narendra)  - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,-3.0,-3.0
20020818,Rishi rheumatology Eurostar Microscope - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,-3.0,-3.0
20020819,POC HOUSE Dynacount - Shri Gurupad Hospital - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020820,POC HOUSE TC Prime - Geetha Hospital & RC - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020821,Universal solutions Vision Pro A for SS Pat - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020822,Shakthi enterprises Dynacount - Balamurug - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020823,MOU dynacount 5D - Dhruvi medicare - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020824,iFlash 1800 SSMM Diagnostics & Clinic-Mumbai - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,-3.65,-3.65
20020825,Eurostar with camera - Dr Quadri Lab - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020826,Vision Pro care takers - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,-0.75,-0.75
20020827,Pulse diagnostics soni path lab - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,-0.73,-0.73
20020828,SHINE PATHOLOGY SERVICES  I flash - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020829,Pooja Hospital I FLASH  - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,-3.5,-3.5
20020830,Rose medicare Dynacount 5D  - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020831,Benchmark Diagnostics Indore TC Prime part  - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020832,Icon Enterprises TC 240 Government Medical - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020833,ABC Diagnostics I Flash Dr.Dhanrmendra Bhad - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020834,Vision Pro A from ​​Singla Lab - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020835,LABMENTOR Dynacount 5D - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020836,Dhruvi Medicare system Dynacount 5D - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020837,Sivakripa Associates C & F - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020838,iFlash 1800 soni path lab M.P (Pulse Diagnostics) - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020839,iFlash Federal Diagnostics and research lab - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,-5.0,-5.0
20020840,AVIGNA LABORATORIES LLP Eurostar Microscope - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,-3.0,-3.0
20020841,UNIPATH - SPECIALITY LABORATORY PVT LTD  (EUROSTAR) - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20020842,"Ameya Enterprises,Pune (c/o Suyog Life Care) Eurostar - Security Deposit Payable",BS,Other Financial liabilities,Deposits from Customers,-3.0,-3.0
20020843,Samadhan pathology Eurostar - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20020844,B.S Diagnostic centre I Flash 1800 - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020845,S.S. MEDICAL AGENCIES-INDORE (TC Prime Choudary Hospital) - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020846,SHREY ASSOCIATES - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020847,"LAB SOLUTION - BHUVANESWAR EURO BLOT ONE, AIIMS - Security Deposit Payable",BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020848,ALKA DIAGNOSTIC CENTRE - I FLASH 1200 EA  - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,-5.0,-5.0
20020849,RELIEF DIAGNOSTIC AND HEALTH CARE - I FLASH 1800 KA - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020850,DNA ENTERPRISES (DIVINE MICROPATH LAB) - I FLASH 1200 EA - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020851,Health Heart Diagnostics (A.N. PHARMA) - Turbo chem Magna EA - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020852,A4all Diagnostics (Baby Memorial Hospital) Microscope - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,-3.0,-3.0
20020853,JJS pathalogy lab - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,-4.0,-4.0
20020854,Hormocare Diagnostics I flash 1200 - Security  Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,-2.0,-2.0
20020855,Icon Enterprises I flash 1200 - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020856,Divine Diagnostics (Macare Diagnostics and Polyclinic) I flash 1200 - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,-2.0,-2.0
20020857,IFLASH 1200_KRUPA DIAGNOSTIC_AJINKYA DIAGNOSTICS AND SURGICALS,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020858,IFLASH 1200_BHUMEE DIAGNOSTICS_OM SALES CORPORATION - Security Deposit Payable,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020901,9MEDZ SAVE AGENCY - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.2,-0.2
20020902,A1 MEDICAL SUPPLIES – MNG - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.1,-0.1
20020903,A4ALL DIAGNOSTICS DISTRIBUTORS - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.25,-0.25
20020904,AADITYA LIFE SUPPORT DEVICES PVT LTD - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20020905,AJINKYA DIAGNOSTICS AND SURGICALS - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20020906,ALVIN INDUSTRIES - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20020907,AMEYA ENTERPRISES - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.25,-0.25
20020908,ANSWER HEALTH CARE - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.75,-0.75
20020909,ANSWER MEDICAL SOLUTIONS - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.3,-0.3
20020910,ARIHANTHEALTH CARE-MUMBAI - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.75,-0.75
20020911,ASP DIAGNOSTICS - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20020912,ASWINI DIAGNOSTICS- TCRT - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020913,ATHARVA ENTERPRISES - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020914,B & B DIAGNOSTIC SERVICES - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20020915,BALA ENTERPRISES - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.3,-0.3
20020916,BALAJI DIAGNOSTICS - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.3,-0.3
20020917,BEST SURGICALS - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.25,-0.25
20020918,BHADRAKALI SCIENTIFICS - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-1.0,-1.0
20020919,BHARAT ENTERPRISES - HYD - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-1.0,-1.0
20020920,BHARATH SCIENTIFIC SUPPLIES-KLM - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.25,-0.25
20020921,BINDESH CORPORATION - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-1.5,-1.5
20020922,BIO TEK AGENCIES - TVM - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020923,BIOCARE DIAGNOSTICS - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20020924,BIOCHEM AGENCIES - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-1.0,-1.0
20020925,BIOCLONE DIAGNOSTICS  - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20020926,BIOLEAP HEALTH CARE - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20020927,BIOMIC INC - MDST - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20020928,BIOSYS - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.75,-0.75
20020929,BLUE DART DIAGNOSTICS - MLPM - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.25,-0.25
20020930,BLUEBELL DIAGNOSTICS - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020931,BRUNDA MEDICALS & SURGICALS - BLE - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020932,CARE TAKERS - AHMEDABAD - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.6,-0.6
20020933,CHEMICALS & INSTRUMENTS - KOLT - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-2.0,-2.0
20020934,COSMIC CHEMICO CO. - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.3,-0.3
20020935,CRYSTAL DIAGNO VISION - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20020936,CRYSTAL HEALTH CARE - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.3,-0.3
20020937,DEEPAK DIAGNOSIS - TVLT - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020938,DHANVANTHRI DIAGNOSTIC & SURGICAL DISTRIBUTORS - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-1.0,-1.0
20020939,DIAGNO INDIA - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20020940,DIAGNOSTIC SALES HOUSE - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20020941,DIATRADES - CLTT - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020942,DISHA DIAGNOSTICS & SURGICALS - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20020943,DYNEX - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20020944,ENZYME DRUG DISTRIBUTOR - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020945,Excell Diagnostics - NEW (FEB) - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020946,FOCUS BIOLOGICALS - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.15,-0.15
20020947,FOCUS INNOVATIONS SCIENTIFIC AND MEDICAL SYSTEMS - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020948,GLOBAL BIOMEDICAL - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020949,GOLDEN SCIENTIFIC COMPANY - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.3,-0.3
20020950,GOLECHHA DIAGNOSTICS - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20020951,HELPLINER - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020952,HIMANSHU ENTERPRISE - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.3,-0.3
20020953,HOSPITO CARE - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.06,-0.06
20020954,IMIC DIAGNOSTICS - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020955,INDIAN BIO SYSTEM - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.2,-0.2
20020956,INNOVATION HEALTHCARE DIAGNOSTICS PVT LTD - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.25,-0.25
20020957,ION SCIENTIFIC - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020958,J.PHARMA - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020959,JAI MATA DI ENTERPRISES - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.25,-0.25
20020960,JANKI ENTERPRISES - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20020961,JAYESH ASSOCIATES (NEW) - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20020962,JJ DIAGNOSTICS - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20020963,K.B.DIAGNOSTICS AND MEDICAL SERVICE - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020964,KALYAN DIAGNOSTICS & CHEMICALS - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.25,-0.25
20020965,KONARK ENTERPRISES - HUBLI - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.25,-0.25
20020966,KOTHARI DISTRIBUTORS - D - BLR1 - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.1,-0.1
20020967,KSHEMA MEDICAL SYSTEMS - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.25,-0.25
20020968,KSK DIAGNOSTICS PVT LTD - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-1.0,-1.0
20020969,L.L.PRODUCTS - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.1,-0.1
20020970,LAB SOLUTION - BHUVANESWAR - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-1.2,-1.2
20020971,LAKSHMI AGENCIES - MDU - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-1.0,-1.0
20020972,LEADS CHEMICALS - CLT - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20020973,M.B. DISTRIBUTORS - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20020974,M/S PEARL SCIENTIFIC - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020975,MARUTHI MEDICAL SERVICES - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.25,-0.25
20020976,MEDISYS ENTERPRISES - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.3,-0.3
20020977,MEDLAB TRADERS - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020978,MGF ENTERPRISES - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-1.0,-1.0
20020979,NAVDURGA DIAGNOSTICS - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20020980,NAVI MEDICARE PVT LTD - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-1.5,-1.5
20020981,NEW TRICHUR DIAGNOSTICS - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20020982,NEWTECH SCIENTIFIC PRODUCTS - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020983,NIYAMAA LIFE SCIENCES - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20020984,ORISON ENTERPRISE - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20020985,OSCAR DIAGNOSTICS - NEW - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020986,PARVATHI DIAGNOSTICS - RAJ - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020987,PAVAN DIAGNOSTIC AGENCY - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20020988,PAWAN DISTRIBUTOR - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020989,POC HOUSE  - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020990,POZHIN DIAGNOSTICS - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20020991,PREMIER CHEMICALS & EQUIPMENT - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.25,-0.25
20020992,PREMIER MEDICAL PRODUCTS-BLR - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-2.0,-2.0
20020993,PRIME SCIENTIFIC HOUSE - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20020994,R A ENTERPRISES - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-1.5,-1.5
20020995,R K DIAGNOSTIC AGENCY - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20020996,R K MEDISOLUTION - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.75,-0.75
20020997,R S K ENTERPRISES - HYD1 (NEW) - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-5.0,-5.0
20020998,R.K.DIAGNOSTICS - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.1,-0.1
20020999,R.R.SCIENTIFIC TRADERS - HYD2 - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20021000,RADHA KRISHNA DIAGNOSTIC ENTERPRISES - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-1.0,-1.0
20021001,RADIANT DIAGNOSTICS - SOUTH - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20021002,RADIANT DIAGNOSTICS SERVICES - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.3,-0.3
20021003,RAJASTHAN MEDICAL SERVICES CORPORATION - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20021004,RAPID HOUSE - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20021005,ROSE MEDICARE PVT LTD - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.3,-0.3
20021006,S V DIAGNOSTICS - NEW1 - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.1,-0.1
20021007,S V ENTERPRISES - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.25,-0.25
20021008,S.S PHARMA SCIENTIFICS &  SURGICALS - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.25,-0.25
20021009,SAI LOHITH MEDICAL SERVICES - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20021010,SAI PAVITHRA MEDICAL SERVICES - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20021011,SAI SRINIVASA AGENCIES - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-1.05,-1.05
20021012,SANJAY & ANITA DRUG DISTRIBUTORS - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.3,-0.3
20021013,SANJEEVINI MEDICAL & ALLIED PRODUCTS - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20021014,SHAKTHI ENTERPRISES (NEW) - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-1.0,-1.0
20021015,SHARDA CHEMICALS - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20021016,SHIV RAMA & SONS - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20021017,SHIVAM ENTERPRIS - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.3,-0.3
20021018,SHREE BIOMED-NEW - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.25,-0.25
20021019,Shree Enterprises - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20021020,SHREE ENTERPRISES - MYST - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.1,-0.1
20021021,Shree Lakshmi Enterprises - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.25,-0.25
20021022,SHREE LAKSHMI MEDICAL NEEDS - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20021023,SHREE MURUGAN ENTERPRISES - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.3,-0.3
20021024,Shree Sai Agencies - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20021025,SHREY ASSOCIATES - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20021026,SHRI JALARAM SALES & SERVICES - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20021027,SHRI MAHALASA AGENCIES (NEW) - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20021028,SHWETA SALES CORPORATION - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20021029,SIGMA DIAGNOSTICS SERVICES - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20021030,SIVA MEDICAL SERVICES - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,0.0,0.0
20021031,SK AGENCY - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-1.0,-1.0
20021032,SRI KRISHNA DIAGNOSTICS DISTRIBUTOR - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20021033,SRI LAKSHMI AGENCIES - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.25,-0.25
20021034,SRI RAJA RAJESHWARA ENTERPRISES - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20021035,SRI RMS AGENCY - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
20021036,SRI SAI AGENCIES - HYD1 - DISTRIBUTOR DEPOSIT PAYABLE,BS,Other Financial liabilities,Deposits from Customers,-0.5,-0.5
